序号,时间,名称,日期
210,05:02:00,Differential and integral equations,2024-04-04
211,05:01:00,Principles of Differential and Integral Equations,2024-04-04
212,05:01:00,Differential Equations in Abstract Spaces,2024-04-04
213,04:56:00,Discrete Mathematics with Applications: Fifth Edition,2024-04-04
214,04:56:00,Infinitesimal Calculus,2024-04-04
215,04:56:00,A Panorama of Pure Mathematics (as Seen by N. Bourbaki),2024-04-04
216,04:56:00,Mathematical Methods in the Physical Sciences,2024-04-04
217,04:56:00,The Foundations of Mathematics,2024-04-04
218,04:56:00,Intuitive Understanding of Kalman Filtering with MATLAB,2024-04-04
219,19:13:00,Introduction to Random Signals and Applied Kalman Filtering with Matlab Exercises,2024-04-03
220,19:13:00,Kalman Filtering: with Real-Time Applications,2024-04-03
221,19:13:00,Bayesian Inference of State Space Models: Kalman Filtering and Beyond,2024-04-03
222,19:13:00,Lectures on Wiener and Kalman Filtering,2024-04-03
223,19:13:00,Linear Estimation,2024-04-03
224,19:13:00,Linear Systems,2024-04-03
225,13:24:00,"Introduction to Automata Theory, Languages, and Computations",2024-04-03
226,13:23:00,自动机理论、语言和计算导论（原书第2版）,2024-04-03
227,13:23:00,Next generation of data mining,2024-04-03
228,13:23:00,Randomized algorithms,2024-04-03
68,18:17:00,Dynamic Programming and Partial Differential Equations,2024-03-27
69,18:16:00,"Deep Learning with Python, Second Edition",2024-03-27
70,18:16:00,R语言实战 第2版 (图灵程序设计丛书),2024-03-27
71,18:16:00,深度强化学习实践(原书第2版),2024-03-27
72,18:14:00,自然语言处理实战,2024-03-27
73,18:14:00,大模型应用开发极简入门：基于 GPT-4 和 ChatGPT,2024-03-27
74,18:11:00,可视化微分几何和形式：一部五幕数学正剧,2024-03-27
75,18:11:00,Visual Complex Analysis: 25th Anniversary Edition,2024-03-27
76,18:10:00,Visual Differential Geometry and Forms: A Mathematical Drama in Five Acts,2024-03-27
229,11:13:00,A first course in the numerical analysis of differential equations,2024-03-27
230,06:50:00,"Optimal Transport for Applied Mathematicians: Calculus of Variations, PDEs, and Modeling",2024-03-27
231,06:50:00,Lectures on Optimal Transport,2024-03-27
232,06:50:00,"An Invitation to Optimal Transport, Wasserstein Distances, and Gradient Flows",2024-03-27
233,06:50:00,Optimal Transport: Theory and Applications,2024-03-27
234,06:43:00,Introduction to Deep Learning,2024-03-27
235,06:41:00,Deep Learning,2024-03-27
236,17:37:00,微积分学教程 三卷合一,2024-03-26
237,15:50:00,庞加莱猜想+追寻宇宙的形状,2024-03-26
238,12:52:00,Finite Element Procedures 2nd edition sixth printing 2019,2024-03-26
239,18:39:00,GPU Programming in MATLAB,2024-03-22
240,18:39:00,"Productive and Efficient Data Science with Python: With Modularizing, Memory profiles, and Parallel/GPU Processing",2024-03-22
241,18:36:00,"Parallel Computing for Data Science - With Examples in R, C++ and CUDA",2024-03-22
242,18:35:00,GPU Parallel Program Development Using CUDA,2024-03-22
243,18:35:00,Modern Data Mining Algorithms in C++ and CUDA C: Recent Developments in Feature Extraction and Selection Algorithms for Data Science,2024-03-22
244,18:35:00,CUDA C++ Programming Guide,2024-03-22
245,18:35:00,GPU高性能编程CUDA实战,2024-03-22
246,18:34:00,Programming in Parallel with CUDA: A Practical Guide,2024-03-22
247,18:33:00,CUDA C编程权威指南 (高性能计算技术丛书),2024-03-22
77,13:32:00,Numerical recipes in Fortran 77 and 90,2024-03-22
78,19:51:00,Numerical Recipes in Fortran 90,2024-03-21
79,15:08:00,"The Worlds I See: Curiosity, Exploration, and Discovery at the Dawn of AI",2024-03-21
248,12:58:00,The Art of Prompt Engineering with chatGPT: A Hands-On Guide,2024-03-21
249,07:48:00,蒋勋说红楼梦 修订版 第3版 套装共8册,2024-03-21
250,07:46:00,"OpenAI GPT For Python Developers: The art and science of developing intelligent apps with OpenAI GPT-3, DALL·E 2, CLIP, and Whisper. A comprehensive and example-rich guide",2024-03-21
251,07:45:00,Chatgpt Empowers Your Prompt Engineering with AI Tools,2024-03-21
252,07:45:00,"Advanced Engineering Mathematics, 10th Edition",2024-03-21
253,06:35:00,Probability in Banach Spaces: Isoperimetry and Processes,2024-03-21
254,06:34:00,The Generic Chaining: Upper and Lower Bounds for Stochastic Processes,2024-03-21
255,06:33:00,Upper and Lower Bounds for Stochastic Processes: Decomposition Theorems,2024-03-21
256,06:33:00,Mean Field Models for Spin Glasses: Volume II: Advanced Replica-Symmetry and Low Temperature,2024-03-21
257,06:33:00,What Is a Quantum Field Theory? A First Introduction for Mathematicians,2024-03-21
80,12:09:00,微分几何,2024-03-20
81,11:43:00,"Partial Differential Equations (Proceedings of Symposia in Pure Mathematics, vol. 4)",2024-03-20
82,11:27:00,微分几何讲义,2024-03-20
83,11:27:00,微分几何入门与广义相对论 3册合集,2024-03-20
84,11:27:00,微分几何讲义（修订版）,2024-03-20
258,11:25:00,Handbook of differential geometry,2024-03-20
259,11:25:00,Handbook of Differential Geometry,2024-03-20
260,11:24:00,Geometric mechanics and symmetry: From finite to infinite dimensions,2024-03-20
261,11:23:00,Elementary Differential Geometry,2024-03-20
85,09:36:00,Communications of the ACM - March 2022,2024-03-20
86,09:36:00,Communications of the ACM - June 2021,2024-03-20
87,09:36:00,Communications of the ACM - April 2022,2024-03-20
262,09:30:00,Communications of the ACM - September 2019 (magazine),2024-03-20
263,09:28:00,Communications of the ACM - January 2020,2024-03-20
264,09:28:00,人工智能中的深度结构学习,2024-03-20
265,09:27:00,Handbook on Neural Information Processing,2024-03-20
266,09:26:00,Communications of the ACM - June 2019,2024-03-20
267,09:25:00,科学之路-Yann LeCun自传,2024-03-20
88,07:56:00,有限元分析基础教程 Fundamentals of Finite Element Analysis,2024-03-20
89,07:56:00,基于ANSYS平台有限元分析手册结构的建模的分析,2024-03-20
268,09:43:00,Sparse and Redundant Representations: From Theory to Applications in Signal and Image Processing,2024-03-19
269,09:23:00,现代信号分析和处理,2024-03-19
270,09:18:00,Beyond the Worst-Case Analysis of Algorithms,2024-03-19
271,08:47:00,Compressed sensing and its applications: 2 MATHEON conf. 2015,2024-03-19
272,08:47:00,Compressive sensing of earth observations,2024-03-19
273,08:47:00,"New Trends in Applied Harmonic Analysis: Sparse Representations, Compressed Sensing, and Multifractal Analysis",2024-03-19
274,08:47:00,Compressed sensing for engineers,2024-03-19
275,08:47:00,Compressed sensing in radar signal processing,2024-03-19
276,08:46:00,Compressed Sensing : Theory and Applications,2024-03-19
277,08:46:00,A Mathematical Introduction to Compressive Sensing,2024-03-19
90,14:12:00,"The Strangest Man: The Hidden Life of Paul Dirac, Mystic of the Atom",2024-03-18
91,11:55:00,物理学的方向,2024-03-18
92,11:54:00,Paul Dirac. The Man and His Work,2024-03-18
93,11:54:00,"The Strangest Man: The Hidden Life of Paul Dirac, Quantum Genius",2024-03-18
278,14:33:00,Deep Learning With Pytorch,2024-03-17
279,14:33:00,"Deep Learning for Time Series Forecasting - Predict the Future with MLPs, CNNs and LSTMs in Python",2024-03-17
280,14:33:00,TensorFlow深度学习 = Deep learning with TensorFlow,2024-03-17
281,14:33:00,Advances in Deep Learning,2024-03-17
282,14:33:00,"Deep Learning with Python, 2nd Edition (Final Release)",2024-03-17
283,11:44:00,Dynamic Mode Decomposition: Data-Driven Modeling of Complex Systems,2024-03-17
284,11:44:00,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control 2nd Edition, Kindle Edition",2024-03-17
285,10:22:00,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",2024-03-17
94,06:26:00,Accelerating Matlab with GPUs. A Primer with Examples,2024-03-17
95,06:25:00,CUDA programming: A developer's guide to parallel computing with GPUs,2024-03-17
96,06:25:00,Modern Data Mining Algorithms in C++ and CUDA C: Recent Developments in Feature Extraction and Selection Algorithms for Data Science,2024-03-17
97,06:24:00,GPU Parallel Program Development Using CUDA,2024-03-17
98,06:24:00,"Parallel Computing for Data Science - With Examples in R, C++ and CUDA",2024-03-17
99,06:24:00,Deep Belief Nets in C++ and CUDA C volume 1 Restricted Boltzmann Machines and Supervised Feedforward Networks,2024-03-17
100,06:24:00,CUDA C++ Best Practices Guide,2024-03-17
101,06:24:00,CUDA C++ Programming Guide,2024-03-17
102,06:13:00,CUDA Fortran for Scientists and Engineers. Best Practices for Efficient CUDA Fortran Programming,2024-03-17
103,06:10:00,醉汉的脚步,2024-03-17
104,16:52:00,偏微分方程,2024-03-15
105,11:17:00,An Introduction To Statistical Learning: With Applications In R (Second Edition),2024-03-13
106,10:51:00,统计学习导论:基于R应用,2024-03-13
107,04:50:00,Dynamics of Structures,2024-03-10
108,04:48:00,"Earthquake engineering for concrete dams analysis, design, and evaluation",2024-03-10
109,04:47:00,Structural Dynamics: Theory and Computation,2024-03-10
110,04:47:00,Mechanical Vibrations: Theory and Application to Structural Dynamics,2024-03-10
111,04:47:00,"Dynamics of Structures, 5/e",2024-03-10
286,17:46:00,结构动力学,2024-03-09
287,17:14:00,PowerShell in Depth: An administrator's guide,2024-03-09
288,09:23:00,PowerShell Cookbook: Your Complete Guide to Scripting the Ubiquitous Object-Based Shell,2024-03-08
289,09:23:00,Essential PowerShell for Office 365,2024-03-08
290,09:22:00,Windows PowerShell in Action,2024-03-08
291,09:22:00,Powershell and Python Together: Targeting Digital Investigations,2024-03-08
292,09:22:00,PowerShell for Sysadmins: Workflow Automation Made Easy,2024-03-08
293,09:21:00,The Go Programming Language,2024-03-08
294,09:21:00,Go in Action,2024-03-08
112,05:16:00,Deep Learning.,2024-03-07
113,05:15:00,Mathematics For Machine Learning,2024-03-07
114,05:15:00,Approaching (Almost) Any Machine Learning Problem,2024-03-07
115,08:57:00,"Developing Apps with GPT-4 and ChatGPT: Build Intelligent Chatbots, Content Generators, and More",2024-03-05
116,08:54:00,Mathematicians : an outer view of the inner world,2024-03-05
117,08:54:00,The Apprenticeship of a Mathematician,2024-03-05
118,14:16:00,TikZ and PGF manual,2024-03-01
119,14:15:00,"Gnuplot in Action, 2nd Edition: Understanding data with graphs",2024-03-01
120,12:38:00,Code to Joy: Why Everyone Should Learn a Little Programming,2024-03-01
121,12:36:00,Complex Analysis: The Geometric Viewpoint,2024-03-01
122,12:35:00,An Introduction to Complex Analysis and Geometry,2024-03-01
123,12:04:00,C程序设计语言,2024-02-26
124,06:07:00,Rust编程：入门、实战与进阶,2024-02-26
125,03:50:00,最优传输理论与计算,2024-02-25
126,14:35:00,Combinators: A Centennial View,2024-02-23
127,14:34:00,Hands-On Start to Wolfram Mathematica: And Programming with the Wolfram Language,2024-02-23
128,08:28:00,A new kind of science,2024-02-23
129,08:28:00,Julia: High Performance Programming (Learning Path) (NOT true pdf),2024-02-23
130,08:28:00,Fortran 2018 With Parallel Programming,2024-02-23
131,08:28:00,"Statistics with Julia: Fundamentals for Data Science, Machine Learning and Artificial Intelligence",2024-02-23
132,05:48:00,rust实战,2024-02-23
133,05:44:00,Adventures of a Computational Explorer,2024-02-23
134,05:44:00,Idea Makers: Personal Perspectives on the Lives & Ideas of Some Notable People,2024-02-23
135,13:44:00,Vibration Simulation Using MATLAB and ANSYS,2024-02-22
136,12:46:00,Ansys Mechanical APDL Verification Manual,2024-02-22
137,12:46:00,Mechanical APDL as a Server User's Guide,2024-02-22
138,12:46:00,ANSYS Mechanical APDL for Finite Element Analysis,2024-02-22
139,16:10:00,精通Rust(第2版),2024-02-19
140,16:09:00,Modern Fortran Explained,2024-02-19
141,16:09:00,Learning Julia: Build high-performance applications for scientific computing,2024-02-19
142,16:09:00,"Getting Started with Julia Programming: Enter the exciting world of Julia, a high-performance language for technical computing",2024-02-19
143,16:09:00,Data Science with Julia,2024-02-19
295,05:45:00,C++ Primer,2024-02-18
296,05:45:00,C Primer Plus（第6版）中文版,2024-02-18
297,05:42:00,Modern Fortran: Building Efficient Parallel Applications,2024-02-18
298,05:41:00,"Gnuplot in Action, 2nd Edition: Understanding data with graphs",2024-02-18
299,05:40:00,Beginning Julia Programming for Engineers and Scientists,2024-02-18
300,05:38:00,The Rust Programming Language (Covers Rust 2018),2024-02-18
301,05:38:00,具体数学,2024-02-18
302,05:35:00,Concrete mathematics: a foundation for computer science,2024-02-18
144,11:49:00,An Introduction to Statistical Learning: with Applications in Python,2024-02-17
145,06:42:00,An Elementary Introduction to the Wolfram Language,2024-02-15
146,06:41:00,Julia for Beginners,2024-02-15
147,06:41:00,Beginning Julia Programming for Engineers and Scientists,2024-02-15
148,06:32:00,Rust for Rustaceans: Idiomatic Programming for Experienced Developers (Final Release),2024-02-15
149,06:32:00,Rust in Action: Systems programming concepts and techniques,2024-02-15
150,06:32:00,Beginning Rust: From Novice to Professional,2024-02-15
151,06:32:00,Programming Rust,2024-02-15
152,06:32:00,The Rust Programming Language (Covers Rust 2018),2024-02-15
303,09:29:00,Linux命令行与shell脚本编程大全.第3版,2024-02-14
153,19:09:00,Linux命令行与shell脚本编程大全.第3版,2024-02-13
154,02:11:00,Linux in Action,2024-02-13
155,18:15:00,Professional CMake: A Practical Guide,2024-02-08
156,14:56:00,弹性理论（第三版）,2024-02-05
157,14:27:00,力学: 理论物理学教程 第一卷,2024-02-05
158,13:23:00,Parallel and High Performance Computing,2024-02-05
159,10:50:00,理论力学,2024-02-05
160,10:15:00,Algorithms for Optimization,2024-02-05
161,09:50:00,Modern Fortran: Building Efficient Parallel Applications,2024-02-05
162,06:55:00,An Introduction to the Analysis of Algorithms,2024-01-26
163,06:55:00,Introduction to Programming in Python: An Interdisciplinary Approach,2024-01-26
164,06:55:00,Analytic Combinatorics,2024-01-26
165,06:55:00,"Algorithms (part 2, electronic edition)",2024-01-26
166,06:55:00,"Algorithms (part 1, electronic edition)",2024-01-26
167,06:53:00,算法 第四版 Algorithms (4th Edition)(Chinese Edition),2024-01-26
168,06:51:00,Introduction to Hilbert spaces with applications,2024-01-26
169,13:09:00,[图灵程序设计丛书].高效算法：竞赛、应试与提高必修128例,2024-01-25
170,13:09:00,算法竞赛入门经典（第二版）,2024-01-25
171,21:02:00,C语言程序设计：零基础ACM/ICPC竞赛实战,2024-01-24
172,20:59:00,ACM Turing Award Lectures : The First Twenty Years : 1966 to 1985 (ACM Press Anthology Series),2024-01-24
173,17:14:00,"从切比雪夫到爱尔特希 上, 素数定理的初等证明",2024-01-23
174,17:11:00,Numerical Analysis: Mathematics of Scientific Computing,2024-01-23
175,17:10:00,Numerical Mathematics and Computing,2024-01-23
176,17:08:00,数值分析,2024-01-23
177,11:40:00,上帝创造整数,2024-01-22
178,11:40:00,数学：新的黄金时代,2024-01-22
179,08:59:00,Algebraic geometry,2024-01-22
180,08:58:00,Functional Analysis: Second Edition,2024-01-22
181,08:50:00,Algebraic Geometry,2024-01-22
182,08:05:00,如何阅读一本书(扫描版)(有目录),2024-01-21
183,07:57:00,随机过程及其应用,2024-01-21
184,07:52:00,线性代数入门,2024-01-21
185,07:13:00,计算机程序设计艺术（第3卷）: 排序与查找,2024-01-21
186,07:09:00,"Art of Computer Programming, The: Volume 3: Sorting and Searching",2024-01-21
187,07:04:00,"Adaptive Signal Processing: Next Generation Solutions (Adaptive and Learning Systems for Signal Processing, Communications and Control Series)",2024-01-21
188,07:03:00,Spectral Analysis of Signals,2024-01-21
189,07:01:00,自适应滤波器原理,2024-01-21
190,06:57:00,统计信号处理基础,2024-01-21
191,06:56:00,统计信号处理基础--估计与检测理论,2024-01-21
192,11:23:00,"The Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1",2024-01-19
193,11:12:00,The Art of Computer Programming Vol. 4B Combinatorial Algorithms Part 2,2024-01-19
194,09:48:00,Noise: A Flaw in Human Judgment,2024-01-19
195,09:48:00,Noise: A Flaw in Human Judgment,2024-01-19
196,09:47:00,"Thinking, Fast and Slow",2024-01-19
197,09:47:00,"Thinking, Fast and Slow",2024-01-19
198,09:28:00,句法结构,2024-01-19
199,09:27:00,乔姆斯基语言学文集,2024-01-19
200,09:15:00,On Nature and Language,2024-01-19
304,19:56:00,"数学史(1700-1900) I-III (Abrégé d'histoire des mathématiques, 1700–1900)",2024-01-03
305,19:55:00,数学者の孤独な冒険 : 数学と自己発見への旅 /Sūgakusha no kodoku na bōken : Sūgaku to jiko hakken eno tabi,2024-01-03
306,19:54:00,Pour l'honneur de l'esprit humain: Les mathématiques aujourd'hui,2024-01-03
307,19:51:00,"Noncommutative Geometry, Quantum Fields, and Motives",2024-01-03
308,15:30:00,Noncommutative geometry,2024-01-03
309,15:29:00,On Space and Time,2024-01-03
310,15:27:00,美国国家地理全球史第一辑（套装共4册）【100多年历史文化内容的积淀，多学科团队精心创建，全球史视野，来自国际最高学府历史学家的权威前沿解读】,2024-01-03
311,15:27:00,你听懂了没有（戴建业随笔精选集。谈人生、说爱情、论社会、品文艺…人可以不成大器，但必须活得真实！） (戴建业作品集),2024-01-03
312,15:25:00,我的个天（千万人点赞的网红教授随笔集，大话读书、工作、恋爱那些事儿，有才有识，让人拍案叫绝！我的个天！） (戴建业作品集 10),2024-01-03
313,10:25:00,人工智能 2版,2024-01-03
314,14:24:00,我为什么要写作,2024-01-02
315,14:20:00,我为什么要写作,2024-01-02
316,14:38:00,王蒙作品精选集（套装16本：解读老子、庄子、论语、孟子、红楼梦、青春万岁、活动变人形、青狐、别有风光、惶惑、杂色、游刃有余、闷与狂、演讲录）,2023-12-30
317,14:36:00,道德经,2023-12-30
318,14:36:00,戴建业作品集 戴建业精读世说新语+戴建业精读老子+澄明之境：陶渊明新论+诗囚：孟郊论稿+两宋诗词简史+六朝文学史+文本阐释的内与外+论中国古代的知识分类与典籍分类+你听懂了没有(套装共9册),2023-12-30
319,11:02:00,日落九世纪：大唐帝国的衰亡,2023-12-30
320,07:22:00,一套书读懂中国人文社会,2023-12-30
321,07:22:00,讲给大家的中国历史（套装共9册）,2023-12-30
322,07:22:00,要钱还是要生活：没有财务自由，也能提前退休,2023-12-30
323,07:21:00,柏杨白话版资治通鉴,2023-12-30
324,07:21:00,美丽的数学,2023-12-30
325,07:03:00,Mathematics Going Forward: Collected Mathematical Brushstrokes,2023-12-30
326,11:46:00,资治通鉴全译本柏杨版,2023-12-29
327,11:01:00,数学世界的探奇之旅,2023-12-29
328,10:59:00,大宇之形,2023-12-29
329,10:58:00,素数之恋：黎曼和数学中最大的未解之谜,2023-12-29
330,10:58:00,黎曼博士的零点,2023-12-29
331,10:57:00,数学游戏和数学谜题[“十三五”国家重点图书],2023-12-29
332,10:45:00,数学百草园,2023-12-29
333,10:44:00,数学与求学,2023-12-29
334,10:44:00,数学与科学,2023-12-29
335,10:44:00,数学与对称,2023-12-29
336,09:43:00,阿伽门农的女儿,2023-12-28
337,09:42:00,书店日记,2023-12-28
338,09:33:00,猎人笔记,2023-12-28
339,09:32:00,谈美·谈美书简,2023-12-28
340,09:32:00,给青年的十二封信,2023-12-28
341,09:28:00,论语今读,2023-12-28
342,09:28:00,美的历程,2023-12-28
343,06:50:00,Theory of Differential Equations in Engineering and Mechanics,2023-12-28
344,06:47:00,The millennium prize problems,2023-12-28
345,06:44:00,The Genesis of the Langlands Program,2023-12-28
346,15:01:00,柳如是别传,2023-12-27
347,14:58:00,陈寅恪文集 七册 (寒柳堂集; 金明馆丛稿初编; 金明馆丛稿二编; 隋唐制度渊源略论稿; 唐代政治史述论稿; 元白诗笺证稿; 柳如是别传),2023-12-27
348,14:43:00,读通鉴论（套装共5册）,2023-12-27
349,14:43:00,纲鉴易知录（上下册）——中华经典普及文库,2023-12-27
350,14:42:00,资治通鉴启示录（全二册）,2023-12-27
